Date,FEZ US Equity  (R1),SPX Index  (L1)
5/19/2015,40.44,2127.83
5/20/2015,40.56,2125.85
5/21/2015,40.71,2130.82
5/22/2015,40.27,2126.06
5/26/2015,39.23,2104.2
5/27/2015,39.85,2123.48
5/28/2015,39.77,2120.79
5/29/2015,39.03,2107.39
6/1/2015,38.99,2111.73
6/2/2015,39.39,2109.6
6/3/2015,39.99,2114.07
6/4/2015,39.4,2095.84
6/5/2015,38.8,2092.83
6/8/2015,38.72,2079.28
6/9/2015,38.57,2080.15
6/10/2015,39.67,2105.2
6/11/2015,39.79,2108.86
6/12/2015,39.23,2094.11
6/15/2015,38.72,2084.43
6/16/2015,38.64,2096.29
6/17/2015,38.46,2100.44
6/18/2015,39.17,2121.24
6/19/2015,38.17,2109.99
6/22/2015,39.64,2122.85
6/23/2015,39.55,2124.2
6/24/2015,39.22,2108.58
6/25/2015,39.29,2102.31
6/26/2015,39.45,2101.49
6/29/2015,37.67,2057.64
6/30/2015,37.43,2063.11
7/1/2015,37.66,2077.42
7/2/2015,37.51,2076.78
7/6/2015,36.14,2068.76
7/7/2015,36.23,2081.34
7/8/2015,35.77,2046.68
7/9/2015,36.62,2051.31
7/10/2015,38.63,2076.62
7/13/2015,38.57,2099.6
7/14/2015,38.83,2108.95
7/15/2015,38.7,2107.4
7/16/2015,39.09,2124.29
7/17/2015,38.92,2126.64
7/20/2015,39.03,2128.28
7/21/2015,38.96,2119.21
7/22/2015,38.8,2114.15
7/23/2015,38.78,2102.15
7/24/2015,38.38,2079.65
7/27/2015,38.01,2067.64
7/28/2015,38.43,2093.25
7/29/2015,38.46,2108.57
7/30/2015,38.3,2108.63
7/31/2015,38.58,2103.84
8/3/2015,38.76,2098.04
8/4/2015,38.53,2093.32
8/5/2015,38.99,2099.84
8/6/2015,39.07,2083.56
8/7/2015,39.03,2077.57
8/10/2015,39.59,2104.18
8/11/2015,38.96,2084.07
8/12/2015,38.55,2086.05
8/13/2015,38.22,2083.39
8/14/2015,38.12,2091.54
8/17/2015,37.96,2102.44
8/18/2015,37.62,2096.92
8/19/2015,37.31,2079.61
8/20/2015,36.36,2035.73
8/21/2015,35.66,1970.89
8/24/2015,34.67,1893.21
8/25/2015,35,1867.61
8/26/2015,35.79,1940.51
8/27/2015,36.21,1987.66
8/28/2015,35.87,1988.87
8/31/2015,35.77,1972.18
9/1/2015,34.85,1913.85
9/2/2015,35.34,1948.86
9/3/2015,35.32,1951.13
9/4/2015,34.54,1921.22
9/8/2015,35.55,1969.41
9/9/2015,35.27,1942.04
9/10/2015,35.6,1952.29
9/11/2015,35.53,1961.05
9/14/2015,35.2,1953.03
9/15/2015,35.47,1978.09
9/16/2015,35.92,1995.31
9/17/2015,36.24,1990.2
9/18/2015,34.83,1958.03
9/21/2015,34.77,1966.97
9/22/2015,33.67,1942.74
9/23/2015,33.59,1938.76
9/24/2015,33.44,1932.24
9/25/2015,33.77,1931.34
9/28/2015,33.18,1881.77
9/29/2015,33.32,1884.09
9/30/2015,33.85,1920.03
10/1/2015,33.74,1923.82
10/2/2015,34.3,1951.36
10/5/2015,35.1,1987.05
10/6/2015,35.39,1979.92
10/7/2015,35.72,1995.83
10/8/2015,35.9,2013.43
10/9/2015,36.1,2014.89
10/12/2015,36.01,2017.46
10/13/2015,35.65,2003.69
10/14/2015,35.8,1994.24
10/15/2015,36.24,2023.86
10/16/2015,36.3,2033.11
10/19/2015,36.24,2033.66
10/20/2015,36.11,2030.77
10/21/2015,36.08,2018.94
10/22/2015,36.56,2052.51
10/23/2015,36.96,2075.15
10/26/2015,36.85,2071.18
10/27/2015,36.57,2065.89
10/28/2015,36.77,2090.35
10/29/2015,36.57,2089.41
10/30/2015,36.62,2079.36
11/2/2015,37.05,2104.05
11/3/2015,36.93,2109.79
11/4/2015,36.53,2102.31
11/5/2015,36.63,2099.93
11/6/2015,36.54,2099.2
11/9/2015,36.06,2078.58
11/10/2015,35.91,2081.72
11/11/2015,36.01,2075
11/12/2015,35.56,2045.97
11/13/2015,35.19,2023.04
11/16/2015,35.51,2053.19
11/17/2015,35.63,2050.44
11/18/2015,35.98,2083.58
11/19/2015,36.09,2081.24
11/20/2015,35.89,2089.17
11/23/2015,35.67,2086.59
11/24/2015,35.58,2089.14
11/25/2015,35.81,2088.87
11/27/2015,36.09,2090.11
11/30/2015,36.12,2080.41
12/1/2015,36.22,2102.63
12/2/2015,35.72,2079.51
12/3/2015,35.38,2049.62
12/4/2015,35.8,2091.69
12/7/2015,35.7,2077.07
12/8/2015,35.14,2063.59
12/9/2015,34.98,2047.62
12/10/2015,34.88,2052.23
12/11/2015,34.24,2012.37
12/14/2015,34.18,2021.94
12/15/2015,34.57,2043.41
12/16/2015,35.2,2073.07
12/17/2015,34.87,2041.89
12/18/2015,34.2,2005.55
12/21/2015,34.33,2021.15
12/22/2015,34.54,2038.97
12/23/2015,35.12,2064.29
12/24/2015,35.03,2060.99
12/28/2015,34.96,2056.5
12/29/2015,35.29,2078.36
12/30/2015,34.9,2063.36
12/31/2015,34.43,2043.94
1/4/2016,33.7,2012.66
1/5/2016,33.4,2016.71
1/6/2016,32.83,1990.26
1/7/2016,32.37,1943.09
1/8/2016,32.04,1922.03
1/11/2016,32.22,1923.67
1/12/2016,32.62,1938.68
1/13/2016,31.94,1890.28
1/14/2016,32.33,1921.84
1/15/2016,31.26,1880.33
1/19/2016,31.52,1881.33
1/20/2016,30.85,1859.33
1/21/2016,31.17,1868.99
1/22/2016,31.96,1906.9
1/25/2016,31.515,1877.08
1/26/2016,32.21,1903.63
1/27/2016,31.95,1882.95
1/28/2016,31.93,1893.36
1/29/2016,32.33,1940.24
2/1/2016,32.19,1939.38
2/2/2016,31.23,1903.03
2/3/2016,31.66,1912.53
2/4/2016,31.8,1915.45
2/5/2016,31.27,1880.05
2/8/2016,30.56,1853.44
2/9/2016,30.26,1852.21
2/10/2016,30.38,1851.86
2/11/2016,29.92,1829.08
2/12/2016,30.32,1864.78
2/16/2016,30.88,1895.58
2/17/2016,31.56,1926.82
2/18/2016,31.29,1917.83
2/19/2016,31.18,1917.78
2/22/2016,31.57,1945.5
2/23/2016,31,1921.27
2/24/2016,30.76,1929.8
2/25/2016,31.16,1951.7
2/26/2016,31.14,1948.05
2/29/2016,30.94,1932.23
3/1/2016,31.89,1978.35
3/2/2016,32.07,1986.45
3/3/2016,32.36,1993.4
3/4/2016,32.55,1999.99
3/7/2016,32.48,2001.76
3/8/2016,32.23,1979.26
3/9/2016,32.37,1989.26
3/10/2016,32.44,1989.57
3/11/2016,33.56,2022.19
3/14/2016,33.48,2019.64
3/15/2016,33.28,2015.93
3/16/2016,33.68,2027.22
3/17/2016,33.66,2040.59
3/18/2016,33.62,2049.58
3/21/2016,33.51,2051.6
3/22/2016,33.4,2049.8
3/23/2016,33.04,2036.71
3/24/2016,32.7,2035.94
3/28/2016,32.77,2037.05
3/29/2016,33.2,2055.01
3/30/2016,33.55,2063.95
3/31/2016,33.23,2059.74
4/1/2016,32.88,2072.78
4/4/2016,32.8,2066.13
4/5/2016,32.01,2045.17
4/6/2016,32.44,2066.66
4/7/2016,31.73,2041.91
4/8/2016,32.33,2047.6
4/11/2016,32.4,2041.99
4/12/2016,32.82,2061.72
4/13/2016,33.44,2082.42
4/14/2016,33.57,2082.78
4/15/2016,33.58,2080.73
4/18/2016,33.91,2094.34
4/19/2016,34.58,2100.8
4/20/2016,34.71,2102.4
4/21/2016,34.68,2091.48
4/22/2016,34.54,2091.58
4/25/2016,34.4,2087.79
4/26/2016,34.51,2091.7
4/27/2016,34.75,2095.15
4/28/2016,34.38,2075.81
4/29/2016,34.1,2065.3
5/2/2016,34.38,2081.43
5/3/2016,33.66,2063.37
5/4/2016,33.2,2051.12
5/5/2016,33.01,2050.63
5/6/2016,33.23,2057.14
5/9/2016,33.2,2058.69
5/10/2016,33.59,2084.39
5/11/2016,33.29,2064.46
5/12/2016,33.14,2064.11
5/13/2016,32.79,2046.61
5/16/2016,33.16,2066.66
5/17/2016,32.73,2047.21
5/18/2016,32.77,2047.63
5/19/2016,32.54,2040.04
5/20/2016,32.89,2052.32
5/23/2016,32.71,2048.04
5/24/2016,33.4,2076.06
5/25/2016,33.9,2090.54
5/26/2016,34.12,2090.1
5/27/2016,34.08,2099.06
5/31/2016,33.89,2096.96
6/1/2016,33.85,2099.33
6/2/2016,33.87,2105.26
6/3/2016,33.92,2099.13
6/6/2016,33.99,2109.41
6/7/2016,34.28,2112.13
6/8/2016,34.3,2119.12
6/9/2016,33.8,2115.48
6/10/2016,32.6,2096.07
6/13/2016,32.02,2079.06
6/14/2016,31.44,2075.32
6/15/2016,31.69,2071.5
6/16/2016,31.99,2077.99
6/17/2016,31.5,2071.22
6/20/2016,32.2,2083.25
6/21/2016,32.6,2088.9
6/22/2016,32.66,2085.45
6/23/2016,33.82,2113.32
6/24/2016,29.86,2037.41
6/27/2016,29.18,2000.54
6/28/2016,29.95,2036.09
6/29/2016,30.51,2070.77
6/30/2016,31.17,2098.86
7/1/2016,31.14,2102.95
7/5/2016,30.2,2088.55
7/6/2016,30.11,2099.73
7/7/2016,29.88,2097.9
7/8/2016,30.49,2129.9
7/11/2016,30.91,2137.16
7/12/2016,31.53,2152.14
7/13/2016,31.62,2152.43
7/14/2016,32.01,2163.75
7/15/2016,31.86,2161.74
7/18/2016,31.75,2166.89
7/19/2016,31.45,2163.78
7/20/2016,31.73,2173.02
7/21/2016,31.71,2165.17
7/22/2016,31.75,2175.03
7/25/2016,31.74,2168.48
7/26/2016,31.9,2169.18
7/27/2016,32.18,2166.58
7/28/2016,32.2,2170.06
7/29/2016,32.565,2173.6
8/1/2016,32.14,2170.84
8/2/2016,31.8,2157.03
8/3/2016,31.73,2163.79
8/4/2016,31.8,2164.25
8/5/2016,32.07,2182.87
8/8/2016,32.2,2180.89
8/9/2016,32.66,2181.74
8/10/2016,32.82,2175.49
8/11/2016,33.05,2185.79
8/12/2016,33.06,2184.05
8/15/2016,33.145,2190.15
8/16/2016,33.08,2178.15
8/17/2016,32.98,2182.22
8/18/2016,33.1,2187.02
8/19/2016,32.79,2183.87
8/22/2016,32.71,2182.64
8/23/2016,32.89,2186.9
8/24/2016,32.9,2175.44
8/25/2016,32.74,2172.47
8/26/2016,32.67,2169.04
8/29/2016,32.77,2180.38
8/30/2016,32.88,2176.12
8/31/2016,32.85,2170.95
9/1/2016,33.03,2170.86
9/2/2016,33.5,2179.98
9/6/2016,33.71,2186.48
9/7/2016,33.79,2186.16
9/8/2016,33.81,2181.3
9/9/2016,33.08,2127.81
9/12/2016,33.32,2159.04
9/13/2016,32.57,2127.02
9/14/2016,32.42,2125.77
9/15/2016,32.62,2147.26
9/16/2016,31.82,2139.16
9/19/2016,32.07,2139.12
9/20/2016,32.11,2139.76
9/21/2016,32.59,2163.12
9/22/2016,33.14,2177.18
9/23/2016,32.95,2164.69
9/26/2016,32.5,2146.1
9/27/2016,32.48,2159.93
9/28/2016,32.82,2171.37
9/29/2016,32.24,2151.13
9/30/2016,32.76,2168.27
10/3/2016,32.64,2161.2
10/4/2016,32.7,2150.49
10/5/2016,32.96,2159.73
10/6/2016,32.86,2160.77
10/7/2016,32.64,2153.74
10/10/2016,32.8,2163.66
10/11/2016,32.4,2136.73
10/12/2016,32.24,2139.18
10/13/2016,32.04,2132.55
10/14/2016,32.21,2132.98
10/17/2016,32.16,2126.5
10/18/2016,32.5,2139.6
10/19/2016,32.56,2144.29
10/20/2016,32.68,2141.34
10/21/2016,32.58,2141.16
10/24/2016,32.69,2151.33
10/25/2016,32.67,2143.16
10/26/2016,32.56,2139.43
10/27/2016,32.61,2133.04
10/28/2016,32.65,2126.41
10/31/2016,32.57,2126.15
11/1/2016,32.39,2111.72
11/2/2016,32.15,2097.94
11/3/2016,32.05,2088.66
11/4/2016,31.78,2085.18
11/7/2016,32.34,2131.52
11/8/2016,32.5,2139.56
11/9/2016,32.47,2163.26
11/10/2016,32.35,2167.48
11/11/2016,32.03,2164.45
11/14/2016,31.79,2164.2
11/15/2016,31.93,2180.39
11/16/2016,31.45,2176.94
11/17/2016,31.55,2187.12
11/18/2016,31.15,2181.9
11/21/2016,31.46,2198.18
11/22/2016,31.56,2202.94
11/23/2016,31.22,2204.72
11/25/2016,31.44,2213.35
11/28/2016,31.08,2201.72
11/29/2016,31.43,2204.66
11/30/2016,31.38,2198.81
12/1/2016,31.31,2191.08
12/2/2016,31.29,2191.95
12/5/2016,32,2204.71
12/6/2016,32.52,2212.23
12/7/2016,33.07,2241.35
12/8/2016,32.95,2246.19
12/9/2016,32.96,2259.53
12/12/2016,33,2256.96
12/13/2016,33.41,2271.72
12/14/2016,32.88,2253.28
12/15/2016,32.92,2262.03
12/16/2016,32.91,2258.07
12/19/2016,32.81,2262.53
12/20/2016,33.01,2270.76
12/21/2016,33.09,2265.18
12/22/2016,33.07,2260.96
12/23/2016,33.18,2263.79
12/27/2016,33.22,2268.88
12/28/2016,32.99,2249.92
12/29/2016,33.21,2249.26
12/30/2016,33.46,2238.83
1/3/2017,33.53,2257.83
1/4/2017,33.76,2270.75
1/5/2017,34.1,2269
1/6/2017,33.97,2276.98
1/9/2017,33.95,2268.9
1/10/2017,33.85,2268.9
1/11/2017,34.03,2275.32
1/12/2017,34.06,2270.44
1/13/2017,34.23,2274.64
1/17/2017,34.15,2267.89
1/18/2017,34.1,2271.89
1/19/2017,33.97,2263.69
1/20/2017,34.28,2271.31
1/23/2017,34.26,2265.2
1/24/2017,34.35,2280.07
1/25/2017,34.78,2298.37
1/26/2017,34.39,2296.68
1/27/2017,34.33,2294.69
1/30/2017,34,2280.9
1/31/2017,34.02,2278.87
2/1/2017,34.12,2279.55
2/2/2017,34.15,2280.85
2/3/2017,34.34,2297.42
2/6/2017,33.85,2292.56
2/7/2017,33.71,2293.08
2/8/2017,33.69,2294.67
2/9/2017,33.98,2307.87
2/10/2017,33.9,2316.1
2/13/2017,34.04,2328.25
2/14/2017,34.14,2337.58
2/15/2017,34.28,2349.25
2/16/2017,34.42,2347.22
2/17/2017,34.25,2351.16
2/21/2017,34.31,2365.38
2/22/2017,34.34,2362.82
2/23/2017,34.35,2363.81
2/24/2017,34.08,2367.34
2/27/2017,34.19,2369.75
2/28/2017,34.19,2363.64
3/1/2017,34.76,2395.96
3/2/2017,34.6,2381.92
3/3/2017,35.14,2383.12
3/6/2017,34.96,2375.31
3/7/2017,34.83,2368.39
3/8/2017,34.69,2362.98
3/9/2017,35.16,2364.87
3/10/2017,35.53,2372.6
3/13/2017,35.54,2373.47
3/14/2017,35.16,2365.45
3/15/2017,35.66,2385.26
3/16/2017,36.09,2381.38
3/17/2017,35.99,2378.25
3/20/2017,35.89,2373.47
3/21/2017,35.9,2344.02
3/22/2017,35.99,2348.45
3/23/2017,36.07,2345.96
3/24/2017,36.15,2343.98
3/27/2017,36.37,2341.59
3/28/2017,36.54,2358.57
3/29/2017,36.45,2361.13
3/30/2017,36.19,2368.06
3/31/2017,36.35,2362.72
4/3/2017,36.22,2358.84
4/4/2017,36.25,2360.16
4/5/2017,35.98,2352.95
4/6/2017,36.12,2357.49
4/7/2017,36.1,2355.54
4/10/2017,35.87,2357.16
4/11/2017,35.95,2353.78
4/12/2017,35.93,2344.93
4/13/2017,35.62,2328.95
4/17/2017,35.83,2349.01
4/18/2017,35.59,2342.19
4/19/2017,35.55,2338.17
4/20/2017,35.91,2355.84
4/21/2017,35.96,2348.69
4/24/2017,37.96,2374.15
4/25/2017,38.25,2388.61
4/26/2017,37.91,2387.45
4/27/2017,37.84,2388.77
4/28/2017,37.83,2384.2
5/1/2017,38.04,2388.33
5/2/2017,38.3,2391.17
5/3/2017,38.24,2388.13
5/4/2017,39.06,2389.52
5/5/2017,39.69,2399.29
5/8/2017,39.08,2399.38
5/9/2017,38.87,2396.92
5/10/2017,38.94,2399.63
5/11/2017,38.75,2394.44
5/12/2017,39.1,2390.9
5/15/2017,39.37,2402.32
5/16/2017,39.79,2400.67
5/17/2017,39.07,2357.03
5/18/2017,39.09,2365.72
5/19/2017,39.65,2381.73
5/22/2017,39.7,2394.02
5/23/2017,39.72,2398.42
5/24/2017,39.73,2404.39
5/25/2017,39.64,2415.07
5/26/2017,39.46,2415.82
5/30/2017,39.35,2412.91
5/31/2017,39.54,2411.8
6/1/2017,39.73,2430.06
6/2/2017,40.18,2439.07
6/5/2017,39.88,2436.1
6/6/2017,39.62,2429.33
6/7/2017,39.64,2433.14
6/8/2017,39.65,2433.79
6/9/2017,39.62,2431.77
6/12/2017,39.29,2429.39
6/13/2017,39.59,2440.35
6/14/2017,39.55,2437.92
6/15/2017,38.99,2432.46
6/16/2017,38.74,2433.15
6/19/2017,38.96,2453.46
6/20/2017,38.57,2437.03
6/21/2017,38.59,2435.61
6/22/2017,38.54,2434.5
6/23/2017,38.64,2438.3
6/26/2017,38.79,2439.07
6/27/2017,38.89,2419.38
6/28/2017,39.28,2440.69
6/29/2017,38.62,2419.7
6/30/2017,38.47,2423.41
7/3/2017,38.55,2429.01
7/5/2017,38.54,2432.54
7/6/2017,38.39,2409.75
7/7/2017,38.56,2425.18
7/10/2017,38.65,2427.43
7/11/2017,38.83,2425.53
7/12/2017,39.11,2443.25
7/13/2017,39.24,2447.83
7/14/2017,39.46,2459.27
7/17/2017,39.29,2459.14
7/18/2017,39.22,2460.61
7/19/2017,39.34,2473.83
7/20/2017,39.61,2473.45
7/21/2017,39.33,2472.54
7/24/2017,39.29,2469.91
7/25/2017,39.42,2477.13
7/26/2017,39.7,2477.83
7/27/2017,39.61,2475.42
